"Ability Enhancement The ring enhances his strength, speed, reflexes and durability. Without the ring, his change as shown above.",Ability Boost
Altered Stats The Hood's stats are able to be boosted as shown above.,Ability Boost
"Raise Stats Crusader is able to alter his physiology to give himself superhuman strength, stamina, durability and enhanced speed.",Ability Boost
Strength Increase Increases Denti's Strength as shown above,Ability Boost
"Wand +1cs to Agility when resolving his magical attacks, has the following power stunt:",Ability Boost:A1
"Flight Computer Grants Iron Patriot Ex manuverability, and also a +2cs to any Agility FEAT that involves manuvers or turns.",Ability Boost:A-Flight
Mn Endurance 10 rounds,Ability Boost:E10
Rm-Am Endurance 25 rounds,Ability Boost:Eam
Ex Endurance 50 rounds,Ability Boost:EEx
Gd Endurance 100 rounds,Ability Boost:EGd
Sh-X-Sh-Y Endurance 1 round,Ability Boost:EShY
Fe-Ty Endurance 150 rounds,Ability Boost:Ety
Un Endurance 5 rounds,Ability Boost:Eun
Adaptive Combat Computer Grants +1cs to Fighting and Agility FEAT to hit any preprogrammed opponent while simultaneously putting them at -1cs to hit the armor.,Ability Boost:F1-A1
"Battle Computer a computer that can be programmed with the fighting style of a particular foe. This gives Beetle +2CS Fighting, +1CS Agility and +2CS Intuition. Programs exist for Spider-Man, Daredevil, Iron Man and Captain America.",Ability Boost:F2-A1-I1
Physical Enhancements Stellaris can increase her FASE to Un. This does not change her health,Ability Boost:FASE-Un
"Hammer Mn material, gives Ch'od Mn Fighting and inflicts In damage",Ability Boost:FMn;Blunt
"Mind Gem This Infinity Gem raises all of Moondragon’s mental statistics by +2cs. Other powers are likely, but are as yet unrevealed. Without the gem, Moon dragon’s mental statistics are",Ability Boost:R2-I2-P2
"Rewrite Brain The helmet changes the Reason, Intuition and Psyche of the wearer and also gives them the talents found below. Once the helmet is removed, the wearer will go back to normal",Ability Boost:RIP
Belt of Strength +1CS Strength. (When removed End -2CS for 24 hours.),Ability Boost:S1
"Enhanced Abilities Her Strength is raised by +1cs in her smallest size, but her Health does not change.",Ability Boost:S1
"Harrier Armor Rm material, Anyone who wears the suit gains a +2 CS to both strength and endurance. Without the suit, Harrier's strength and endurance falls to Ty. It has the following abilities:",Ability Boost:S2-E2
"Rocket-Powered Punch Rocket Racer can use 6 of these attacks per encounter. Eack ""Rocket-Powered Punch"" gives Rocket Racer +2cs to Strength.",Ability Boost:S2-E2
"Robot Body When Modok employed this mechanism, his Strength and Fighting ranks were increased to Am. The body itself had the following characteristics",Ability Boost:SAm-FAm
"Enhanced Strength Gauntlet's right arm has In Strength while wearing the gauntlet; however, health does not change",Ability Boost:SIn
Bionics Right hand and Right leg. The leg is obviously mechanic but the hand is usually concealed. These bionics have self-repair mechanisms and In material strength. The hand has In strength.,Ability Boost:SIn
Hyper-Strength The glove raises Champion's strength to +2CS to In.,Ability Boost:Sin
"Enhanced Stats The armor raises Red Skull's Strength to In and his Endurance to Am, health does not change",Ability Boost:SIn;Eam
"Robotic Arms The arms have Rm Strength, health does not change",Ability Boost:SRm
Enhanced Arm Rm Strength in his Left Arm,Ability Boost:SRm
Gauntlets of Ares These gauntlets allow Ares to have Un Strength while engaged in combat. No health bonus.,Ability Boost:SUn
Satan Claw Ex Strength in right arm and allows him to deliver Ex Electrical Shocks.,Ability Boost;Stunning
"Absorption Mn ability to absorb kinetic energy within 1 area and transform it into additional Strength, Endurance and the powers listed below. Power levels constantly rise and fall with the available energy supply.",Absorption
"Electrical Absorption Americop can absorb up to 50 points of Electricity, be it from the surrounding area at a rate of 10 points per hour, or from a directed electrical based attack The batteries can store up to 50 points of built up electricity. Unfortunately, he can only safely store 50 points, any more requires Gallows to make an Endurance FEAT to avoid overloading the suit and discharging the built up electricity upon Gallows himself. The stored up energy can be used  for the following",Absorption
Energy absorbtion and rechanneling Iron Cross can repower his suit by absorbing electrical energy regaining lost health equal to the intensity absorbed. He can also rechannel it to increase the power of his repulsor blasts. Up to 400 points of energy may be stored in this manner and up to 100 health can be restored.,Absorption
Energy Absorption Un ability to absorb up to 100 points of Energy,Absorption
Energy Siphon Mn absorbtion of energy,Absorption
"Gauntlet Energy Shield Un Protection vs. Energy, allows direct absorption of Energy Attacks for use of the armor systems without a FEAT Roll. Can be used for absorbing Area attacks, but only provides protection against focused attacks.",Absorption
Kinetic Absorption Ex protection vs. Physical,Absorption
"Power-Level Adaption Un, The Pod armor's greatest, if not more likely, primary ability is to adjust and augment its on-board systems and parameters to counter and exceed any opposing force it has set itself against. Having been able to study and steadily boost itself to considerable enough degrees to take on, and out, all of Earth's Mightiest single handed.",Absorption
"Strength Augmentation Americop can augment his strength with his stored up electrical energy, by as much as 20 points per round. Each round reduces stored electricity by the same number.",Absorption
Computers The exo-skeleton is covered with micro-circuited power converters designed to receive cerebral energies in the form of extra-dimensional radiation and re-convert it into energy for physical strength. The cerebral energies he taps are the latent psionic powers that lie dormant in virtually all human beings. The Controller’s own cerebral energies are sufficient to power his exo-skeleton at the strength level noted above.,Absorption
"Chemical Absorption Am ability to asborb chemicals, even Spider-Man's webbing",Absorption:Chemical
"Energy Absorption (Asgardian Enchantment) May absorb up to Un Electrical and Asgardian Magic energy per round. Maximum capacity is 1,000 points and that can be stored safely for up to 10 rounds. Longer storage requires a successful Endurance FEAT to avoid Un damage each round until stored energy is depleted. Damage occurs to all within the same area, including Iron Man, whose Body Armor is ignored for this effect. Absorbed energy can be channeled through the armor’s weapons or strength for Sh-Y damage. Both Electrical and Asgardian magic can be absorbed.",Absorption:Electrical-magic
"Energy Absorption (Electrical) May absorb up to Un Electrical per round. Maximum capacity is 100 points and that can be stored safely for up to 2 rounds. Longer storage requires a successful Endurance FEAT roll to avoid Rm damage each round until stored energy is depleted. Damage occurs to all within the same area, including Iron Man, whose Body Armor is ignored for this effect. Absorbed energy can be channeled through the",Absorption:Electrical-magic
Eldritch Bolt Fire an Eldritch Beam with a power rank equal to the absorbed attack.,Absorption:Energy Blast:Eldritch
"Energy and Magic Absorption Armor has ability to absorb up to Un amounts per round for up to 4 rounds. Absorbed power can be redirected into any of the armor's weapon systems or force field, raising that ability score by +1cs above its maximum ability for 4 rounds or until the 400 points of energy has been depleted. Each round beyond 4 that energy is stored requires Yellow Endurance FEAT or energy is discharged in 1 area radius, including armor's wearer, inflicting Rm damage. Armor provides no protection in this case.",Absorption:Energy-Magic
Mystical Energy Absorption Its mystic edge can absorb and negate magic as well as cancel out extra-dimensional beings with Un ability,Absorption:Magic
"Energy Absorbtion The Guardsmen can absorb up to 300 points of energy for weapons systems, raising them to Mn for 1 round. He can absorb incoming attacks on a yellow feat or better (Un column)",Absorption;Ability Boost
Power Absorbtion/Reflection Energy up to CL1000 but it must be reflected the following round.,Absorption;Reflection:Limitation
"Power Absorption/Reflection energy up to CL1000, but must be reflect that round",Absorption;Reflection:Limitation
"Chemical Compound Atlanteans also have a chemical compound that allows normal breathing in air, while turnng the flesh from normal blue to human flesh-tones. This chemical allows air-breathing for 24 hours. An Atlantean hero that gains ""water-breathing"" ability as a Power can breathe air normally.",Air Breathing
"Winds Create Am strength winds, cyclones etc.",Air Control
