Name,Identity,Form,Alt,Alignment,Type,Size,armour_name,stated_ac,armor_bonus,ac,stated_hp,hp,expected_hp,hp_fudge,level,hd,F,A,S,E,R,I,P,H,K,Res,Pop,Powers,Powers_Rank,Powers_Adj,Powers_Adj_Rank,Equipment,Vehicle,Talents,Talents_Adj,Contacts,Contacts_Adj,Weaknesses,Weaknesses_Adj,Powers_Form,Spd,Att,Dam,Climbing,Escaping,martial_arts,mook,attack_parameters,CR,xp,regen,healing_spells,healing_dice,healing_bonus,sc_ability,log,proficiency,initiative_bonus,AB_F,AB_A,AB_S,AB_E,AB_R,AB_I,AB_P
8-Ball,Jeff Hagees,,,,,,,,,,,,,,,,Gd,Gd,Gd,Gd,Rm,Ex,Gd,40,60,Ty,,{},{},{},{},"{'Pool Cue': 'In material, 8-Ball’s pool cue is designed to magnify any force applied to it by a thousandfold. This gives any projectile that is shot by the Pool Cue Mn Force, up to 10 areas', 'Pool Balls': '8-Ball carried a variety of pool balls that he used as throwing weapons. 8-Ball has used the following:', 'Regular': 'Rm Blunt', 'Grenade': 'In Edge to 1 area'}","{'Body': 'Ex', 'Control': 'Ex', 'Speed': 'Rm', 'Protection': 'Sh-0'}","{'Engineering': 1, 'Weapon Design': 1, 'Billiards': 1}","{'Engineering': 1, 'Weapons Design': 1, 'Billiards': 1}",{'None': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Apocalypse,En Sabah Nur,,,,,,,,,,,,,,,,In,Rm,Mn,ShX,In,In,Un,295,180,Am,,"{'Damage Resistance': 'All damage is -3cs', 'Molecular Rearrangement': 'Un, by rearranging his molecules, • --|A|-- • is able to perform the following power stunts:', 'Flight': 'Rm airspeed', 'Elongation': 'Gd', 'Regeneration': 'Un', 'Recovery': 'Un', 'Growth': 'Mn', 'Teleportation': 'Am', 'Energy Blast': 'Un Energy or Mn Energy to an area', 'Immortality': '• --|A|-- • is a mutant that has lived for over five thousand years ago.', 'Levitation': 'Rm', 'Self-Sustenance': ""Doesn't need to eat, sleep or breathe""}","{'Damage Resistance': '', 'Molecular Rearrangement': 'Un;', 'Flight': 'Rm;', 'Elongation': 'Gd;', 'Regeneration': 'Un;', 'Recovery': 'Un;', 'Growth': 'Mn;', 'Teleportation': 'Am;', 'Energy Blast': 'Mn;Un;', 'Immortality': '', 'Levitation': 'Rm;', 'Self-Sustenance': ''}","{'Body Armour:All': 'Testing One Only', 'Molecular Rearrangement': 'Un, by rearranging his molecules, • --|A|-- • is able to perform the following power stunts:', 'Flight': 'Testing One Only', 'Elongation': 'Testing One Only', 'Regeneration': 'Testing One Only', 'Recovery': 'Testing One Only', 'Growth': 'Testing One Only', 'Teleportation': 'Testing One Only', 'Energy Blast': 'Testing One Only', 'Immortality': '• --|A|-- • is a mutant that has lived for over five thousand years ago.', 'Levitation': 'Testing One Only', 'Life Support': 'Testing One Only'}",{},"{'Scarab': 'Mn material, The Scarab is an ancient sword crafted in four parts by Isca the Unbeaten, as a celebration to the birth of the four children of Apocalypse and Genesis. It is capable of the following:', 'Bladed Attack': 'Mn Edge', 'External Sadness': 'The Scarab is imbued with External Sadness. It is unknown what this will do at the time'}",{},"{'Engineering': 1, 'Invention': 1, 'Genetics': 1, 'Leadership': 1}","{'Engineering': 1, 'Invention': 1, 'Genetics': 1, 'Leadership': 1}","{'The Quiet Council of Krakoa': 1, 'Trinary': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Aberration,Rana Philips,,,,,,,,,,,,,,,,Ex,Gd,Am,Mn,Ty,Ty,Ty,155,18,Ty,,"{'Body Armor': 'In protection vs. Physical and Energy', 'Resistance to Cold, Heat, Fire and Disease': 'In'}","{'Body Armor': 'In;', 'Resistance to Cold, Heat, Fire and Disease': 'In;'}","{'Body Armour': 'Testing One Only', 'Resist:Heat': 'Testing Multi', 'Resist:Fire': 'Testing Multi', 'Resist:Cold': 'Testing Multi', 'Resist:Disease': 'Testing Multi'}",{},{},{},"{'Guns': 1, 'Military': 1}","{'Guns': 1, 'Military': 1}",{'Gamma Corps: Black': 1},{},"['Aberration’s body consists of cancerous cells. As she regenerates any damage, her body becomes more cancerous and misshapen.', '', 'Talents: Guns, Military', '', 'Contacts: Gamma Corps: Black']",{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Abraham “Abe” Zimmer,,,,,,,,,,,,,,,,,Ty,Ty,Ty,Ty,Rm,Rm,In,24,100,Ex,,{},{},{},{},{},{},"{'Engineering': 1, 'Computer': 1, 'Repair/Tinkering': 1, 'Technician': 1, 'Robotics': 1}","{'Engineering': 1, 'Computers': 1, 'Repair/Tinkering': 1, 'Technician': 1, 'Robotics': 1}",{'Stark Industries': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
A-Bomb,Rick Jones,,,,,,,,,,,,,,,,Ex,Ex,Un,Mn,Gd,Gd,Gd,215,30,Fe,,"{'Transformation': 'A-Bomb is actually Rick Jones. In his A-Bomb form, he gains the following power stunts:', 'Alter Ego': 'Rick can revert between his A-Bomb and <a href=""/comics/benriely/rickjones2.html"">normal form</a>.', 'Body Armor': 'Am protection vs. Physical and Energy attacks.', 'Resistance to Cold, Heat, Fire, and Disease': 'Un', 'Leaping': 'CL5000, covering 2 miles in a single bound.', 'Chameleon Effect': 'Am ability to blend into his surroundings', 'Water Breathing': 'A-Bomb is able to breathe on land as well as underwater'}","{'Transformation': 'In;', 'Alter Ego': '', 'Body Armor': 'Am;', 'Resistance to Cold, Heat, Fire, and Disease': 'Un;', 'Leaping': 'CL5000;', 'Chameleon Effect': 'Am;', 'Water Breathing': ''}","{'Body Transformation-Self': 'Testing One Only', 'Body Armor': 'Am protection vs. Physical and Energy attacks.', 'Resist:Heat': 'Testing Multi', 'Resist:Fire': 'Testing Multi', 'Resist:Cold': 'Testing Multi', 'Resist:Disease': 'Testing Multi', 'Leaping': 'Testing One Only', 'Blending': 'Testing One Only', 'Water Breathing': 'Testing One Only'}",{},{},{},"{'Trivia': 1, 'Performer': 1, 'Harmonica': 1, 'Martial Arts B': 1}","{'Trivia: (Super-Humans)': 1, 'Performer: (Guitar': 1, 'Harmonica)': 1, 'Martial Arts B': 1}",{'None': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
The Abomination,Emil Blonsky,,,,,,,,,,,,,,,,Rm,Ex,Un,Un,Gd,Ex,Ty,250,36,Fe,,"{'Body Armor': 'Am protection vs. Physical and Energy attacks.', 'Resistances': 'Un resistance to Cold, Heat, Fire, and Disease. Extreme temperatures or lack of oxygen can force him to go into a coma-like hibernation state until more hospitable conditions return.', 'Leaping': 'CL5000, covering 2 miles in a single bound.'}","{'Body Armor': 'Am;', 'Resistances': 'Ex;Un;', 'Leaping': 'CL5000;'}","{'Body Armor': 'Am protection vs. Physical and Energy attacks.', 'Resist:Heat': 'Testing Multi', 'Resist:Fire': 'Testing Multi', 'Resist:Cold': 'Testing Multi', 'Resist:Disease': 'Testing Multi', 'Leaping': 'Testing One Only'}",{},{},{},"{'Detective/Espionage': 1, 'Computer': 1, 'Electronics': 1, 'Engineering': 1, 'Writer': 1}","{'Detective/Espionage': 1, 'Computers': 1, 'Electronics': 1, 'Engineering': 1, 'Writing': 1}",{'None': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Abominatrix,Florence Sharples,,,,,,,,,,,,,,,,Rm,Ex,Mn,Am,Ty,Gd,Gd,175,26,Gd,,"{'Gamma Physiology': 'Scientists working on a cure for pre-menstrual syndrome accidentally used this cure to permanently form Abominatrix, giving her the following abilities:', 'Body Resistance': 'Am resistance vs. all attacks except Psionics', 'Resistance to Heat and Cold': 'Am resistance', 'Hyper Leaping': 'Un'}","{'Gamma Physiology': '', 'Body Resistance': 'Am;', 'Resistance to Heat and Cold': 'Am;', 'Hyper Leaping': 'Un;'}","{'Body Transformation-Self': 'Testing One Only', 'Body Armour:All': 'Testing One Only', 'Resist:Heat': 'Testing Multi', 'Resist Cold': 'Testing Multi', 'Leaping': 'Testing One Only'}",{},{},{},{'None': 1},{'None': 1},{'None': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
The Absorbing Man,Carl 'Crusher' Creel,,,,,,,,,,,,,,,,Ex,Ty,Gd,Ex,Pr,Pr,Ty,56,14,Pr,,"{'Material and Energy Absorbtion': 'Absorbing Man can take on the properties of any material he touches, giving him Strength, Endurance and Body Armor of rank equal to the material strength of the material touched, his health is also increased (not decreased for material lower than his normal ranks). The upper limit is Un. If the object hold energy he can also absorb it and hold it for 10 rounds, he is not hurt by this energy. He can also absorb shapes and sizs.', 'Power Absorbtion': 'Un, but he does not gain the ability to control them and the target retains them,.', 'Life Support': 'When parts of his body are severed he can reattach them by holding them in place when he return to normal.'}","{'Material and Energy Absorbtion': 'Un;', 'Power Absorbtion': 'Un;', 'Life Support': ''}","{'Absorption:Material': 'Testing Multi', 'Absorption:Energy': 'Testing Multi', 'Power Absorption': 'Testing One Only', 'Life Support': 'Testing One Only'}",{},{},{},{'Crime': 1},{'Crime': 1},{},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Abyss,Drusilla,,,,,,,,,,,,,,,,Gd,Ex,Ty,Ex,Ex,Ex,Am,56,90,Rm,,"{'Gaseous Form': ""Abyss's seems to be compose of a living gas. She seems to be able to solidify her form. She has the following power stunts"", 'Immune to all Physical and Energy': 'Am', 'Suffocation': ""She can attack in this state by forcing her way into a character's lungs and suffocating them, causing Rm damage each round. The victim will pass out if an End. FEAT is failed."", 'Mind Alteration': 'Mn ability to suggest ideas, and manipulate certain beings into acting the way she wants.'}","{'Gaseous Form': '', 'Immune to all Physical and Energy': 'Am;', 'Suffocation': 'Rm;', 'Mind Alteration': 'Mn;'}","{'Phasing': 'Testing One Only', 'Resist:Physical': 'Testing Multi', 'Resist:Energy': 'Testing Multi', 'Stunning': 'Testing One Only', 'Mind Control': 'Testing One Only'}",{},{},{},"{'Ex Nihilo': 1, 'The Avengers': 1}","{'Ex Nihilo': 1, 'The Avengers': 1}",{},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
The Acanti,,,,,,,,,,,,,,,,,Fe,Ex,ShY,CL,Mn,Rm,CL,1222,1105,None,,"{'Space Flight': 'Acanti are massive, (size of small moons) space-faring creatures similar to Earth whales. They fly through the stars at CL3000 speed. Mn combat speed.', 'Natural Invulnerability to space': 'The Acanti (and their insides) are invulnerable to the cold and pressures of space. It is not known if they eat or what, but it is presumed that they somehow absorb cosmic or solar energy to sustain themselves.'}","{'Space Flight': 'Mn;CL3000;', 'Natural Invulnerability to space': ''}","{'Flight': 'Testing One Only', 'Resist:Cold': 'Testing Multi', 'Resist Pressure': 'Testing Multi'}",{},"{'Brood Enhancements': 'The Brood have captured and enslaved many Acanti, lobotomized them and equipped them with cybernetics.', 'Laser Batteries': 'Mn Energy', 'Photon Torpedoes': 'Mn damage'}",{},{},{},{},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
